product_id,product_name,category,unit_price
1,Clothing Item 1,Clothing,205.80
2,Clothing Item 2,Clothing,166.30
3,Clothing Item 3,Clothing,-36.01
4,Grocery Item 4,Grocery,-18.60
5,Toys Item 5,Toys,123.08
6,Sports Item 6,Sports,276.22
7,Grocery Item 7,Grocery,194.98
8,Beauty Item 8,Beauty,108.07
9,Toys Item 9,Toys,393.23
10,Toys Item 10,Toys,285.76
11,Beauty Item 11,Beauty,274.53
12,Sports Item 12,Sports,90.67
13,Clothing Item 13,Clothing,370.98
14,Grocery Item 14,Grocery,61.58
15,Grocery Item 15,Grocery,166.05
16,,Clothing,411.89
17,Home & Kitchen Item 17,Home & Kitchen,INVALID
18,Toys Item 18,Toys,39.45
19,Clothing Item 19,Clothing,344.32
20,Toys Item 20,Toys,167.06
21,Electronics Item 21,Electronics,49.80
22,Home & Kitchen Item 22,Home & Kitchen,444.18
23,Electronics Item 23,Electronics,INVALID
24,Home & Kitchen Item 24,Home & Kitchen,229.21
25,Books Item 25,Books,198.03
26,Grocery Item 26,Grocery,101.84
27,Beauty Item 27,Beauty,153.36
28,Books Item 28,Books,459.65
29,Toys Item 29,Toys,INVALID
30,Beauty Item 30,Beauty,495.18
31,Electronics Item 31,Electronics,307.68
32,Toys Item 32,Toys,424.57
33,,Books,-42.77
34,Electronics Item 34,Electronics,INVALID
35,,Beauty,59.29
36,Books Item 36,Books,433.50
37,Sports Item 37,Sports,218.69
38,Toys Item 38,Toys,314.47
39,Toys Item 39,Toys,205.98
40,,Toys,274.82
41,Home & Kitchen Item 41,Home & Kitchen,240.05
42,Sports Item 42,Sports,279.92
43,Beauty Item 43,Beauty,420.77
44,Home & Kitchen Item 44,Home & Kitchen,147.78
45,Home & Kitchen Item 45,Home & Kitchen,71.46
46,Clothing Item 46,Clothing,325.94
47,Home & Kitchen Item 47,Home & Kitchen,362.05
48,Grocery Item 48,Grocery,330.66
49,Home & Kitchen Item 49,Home & Kitchen,46.90
50,Toys Item 50,Toys,430.77
51,Toys Item 51,Toys,-48.96
52,Grocery Item 52,Grocery,257.15
53,Grocery Item 53,Grocery,195.42
54,Sports Item 54,Sports,96.96
55,Electronics Item 55,Electronics,INVALID
56,Sports Item 56,Sports,357.49
57,Books Item 57,Books,208.35
58,Beauty Item 58,Beauty,21.55
59,,Electronics,286.22
60,Beauty Item 60,Beauty,61.01
61,Grocery Item 61,Grocery,481.05
62,Clothing Item 62,Clothing,75.32
63,Books Item 63,Books,235.13
64,Clothing Item 64,Clothing,264.05
65,Clothing Item 65,Clothing,INVALID
66,Clothing Item 66,Clothing,343.61
67,Books Item 67,Books,308.44
68,Beauty Item 68,Beauty,269.83
69,Electronics Item 69,Electronics,237.08
70,Grocery Item 70,Grocery,289.10
71,Beauty Item 71,Beauty,213.39
72,Books Item 72,Books,INVALID
73,Electronics Item 73,Electronics,349.04
74,Books Item 74,Books,364.84
75,Books Item 75,Books,35.39
76,Grocery Item 76,Grocery,291.17
77,Electronics Item 77,Electronics,329.87
78,Books Item 78,Books,405.39
79,Electronics Item 79,Electronics,146.96
80,Clothing Item 80,Clothing,67.77
81,Clothing Item 81,Clothing,426.46
82,Books Item 82,Books,129.76
83,Books Item 83,Books,141.22
84,Books Item 84,Books,12.02
85,Clothing Item 85,Clothing,303.88
86,Home & Kitchen Item 86,Home & Kitchen,331.27
87,Beauty Item 87,Beauty,404.87
88,Books Item 88,Books,392.34
89,Sports Item 89,Sports,245.02
90,Electronics Item 90,Electronics,174.70
91,Clothing Item 91,Clothing,483.83
92,Home & Kitchen Item 92,Home & Kitchen,419.61
93,Toys Item 93,Toys,INVALID
94,Sports Item 94,Sports,332.02
95,Home & Kitchen Item 95,Home & Kitchen,109.36
96,Beauty Item 96,Beauty,31.88
97,Books Item 97,Books,378.95
98,Clothing Item 98,Clothing,30.99
99,Grocery Item 99,Grocery,202.37
100,Books Item 100,Books,240.74
101,Sports Item 101,Sports,192.99
102,Toys Item 102,Toys,239.91
103,Home & Kitchen Item 103,Home & Kitchen,267.56
104,Toys Item 104,Toys,10.86
105,Grocery Item 105,Grocery,194.08
106,Beauty Item 106,Beauty,481.06
107,Electronics Item 107,Electronics,53.19
108,Beauty Item 108,Beauty,INVALID
109,Toys Item 109,Toys,307.18
110,Books Item 110,Books,170.80
111,Books Item 111,Books,402.14
112,Books Item 112,Books,328.89
